label,itemid,shopid,name,price,userid,anonymous,commentTime,is_hidden,orderid,comment_rating_star,comment,product_SKU
30,8149633152,198172756,櫛瓜1斤100元 安全無毒櫛瓜 未檢出 黃色綠色隨機出（櫛瓜如果沒有會換水果彩椒同等價格）,100,3551534,TRUE,2021/07/03,FALSE,7.86E+13,5,寄貨非常迅速，這次收到的都是綠色的櫛瓜，品質很好??^n用橄欖油稍微煎一下，撒上鹽跟香料粉就很好吃，謝謝好賣家～,['']
31,8149633152,198172756,櫛瓜1斤100元 安全無毒櫛瓜 未檢出 黃色綠色隨機出（櫛瓜如果沒有會換水果彩椒同等價格）,100,83115419,TRUE,2021/06/30,FALSE,7.84E+13,4,賣家出貨迅速，產品品質良好，可以因為貨運運送人員沒有小心，打開後有2條擳瓜斷裂破損。建議下次出貨可依不同品項先做一次包裝再裝箱。,['']
32,8149633152,198172756,櫛瓜1斤100元 安全無毒櫛瓜 未檢出 黃色綠色隨機出（櫛瓜如果沒有會換水果彩椒同等價格）,100,5331174,TRUE,2021/07/13,FALSE,7.94E+13,5,今天到貨，馬上就煎了櫛瓜和蒸了甜玉米吃，真的非常好吃，會再回購！如果可以將包裝分的更清楚及乾淨（土沙較多），就完美了。食物本身的品質真的很棒！,['']
33,8149633152,198172756,櫛瓜1斤100元 安全無毒櫛瓜 未檢出 黃色綠色隨機出（櫛瓜如果沒有會換水果彩椒同等價格）,100,167300326,TRUE,2021/06/30,FALSE,7.85E+13,5,1.出貨速度快^n2.冷藏宅配，要記得自己抓時間收貨^n3. 對一斤大概多少對數量沒什麼概念，拍照紀錄一下,['']
34,8149633152,198172756,櫛瓜1斤100元 安全無毒櫛瓜 未檢出 黃色綠色隨機出（櫛瓜如果沒有會換水果彩椒同等價格）,100,10557037,TRUE,2021/09/14,FALSE,8.44E+13,5,謝謝賣家，出貨速度很快，包裝良好，食材都很新鮮，雖然有幾樣缺貨，另外換的食材也喜歡，有需要會再回購,['']
35,8149633152,198172756,櫛瓜1斤100元 安全無毒櫛瓜 未檢出 黃色綠色隨機出（櫛瓜如果沒有會換水果彩椒同等價格）,100,144714778,TRUE,2021/09/17,FALSE,8.45E+13,5,只有綠色的，斷掉了，但新鮮。,['']
36,8149633152,198172756,櫛瓜1斤100元 安全無毒櫛瓜 未檢出 黃色綠色隨機出（櫛瓜如果沒有會換水果彩椒同等價格）,100,130761009,TRUE,2021/06/09,FALSE,7.64E+13,5,新鮮,['']
37,8149633152,198172756,櫛瓜1斤100元 安全無毒櫛瓜 未檢出 黃色綠色隨機出（櫛瓜如果沒有會換水果彩椒同等價格）,100,4066389,TRUE,2021/09/20,FALSE,8.54E+13,5,蠻不錯的，出貨速度快，品質很不錯。大約3條，價格再親民些會更好。,['']
38,8149633152,198172756,櫛瓜1斤100元 安全無毒櫛瓜 未檢出 黃色綠色隨機出（櫛瓜如果沒有會換水果彩椒同等價格）,100,67052787,TRUE,2021/10/15,FALSE,8.77E+13,3,"味道微苦,有一根裂口",['']
39,8149633152,198172756,櫛瓜1斤100元 安全無毒櫛瓜 未檢出 黃色綠色隨機出（櫛瓜如果沒有會換水果彩椒同等價格）,100,28763865,TRUE,2021/09/10,FALSE,8.44E+13,5,主動連繫出貨狀況，如期收到購買的農產品，家人都很期待看到烹煮後上餐桌,['']
40,8149633152,198172756,櫛瓜1斤100元 安全無毒櫛瓜 未檢出 黃色綠色隨機出（櫛瓜如果沒有會換水果彩椒同等價格）,100,7244702,TRUE,2021/07/17,FALSE,7.99E+13,5,水煮就鮮甜美味，產品非常新鮮,['']
41,8149633152,198172756,櫛瓜1斤100元 安全無毒櫛瓜 未檢出 黃色綠色隨機出（櫛瓜如果沒有會換水果彩椒同等價格）,100,11285018,TRUE,2021/07/14,FALSE,7.95E+13,5,收到商品會讓人驚喜，沒有太多損傷，些微擦破皮而已，品質好 減少一次性包裝 會再次購買??,['']
42,8149633152,198172756,櫛瓜1斤100元 安全無毒櫛瓜 未檢出 黃色綠色隨機出（櫛瓜如果沒有會換水果彩椒同等價格）,100,139404385,TRUE,2021/05/29,FALSE,7.58E+13,5,謝謝賣家爸媽很喜歡，CP值超高，還會再回購的^_^，讚喲??,['']
43,8149633152,198172756,櫛瓜1斤100元 安全無毒櫛瓜 未檢出 黃色綠色隨機出（櫛瓜如果沒有會換水果彩椒同等價格）,100,139404385,TRUE,2021/05/29,FALSE,7.57E+13,5,謝謝賣家家人很喜歡，CP值超高，還會再回購的^_^，讚喲??,['']
44,8149633152,198172756,櫛瓜1斤100元 安全無毒櫛瓜 未檢出 黃色綠色隨機出（櫛瓜如果沒有會換水果彩椒同等價格）,100,12195627,TRUE,2021/06/20,FALSE,7.74E+13,5,商品品質不錯，家人很喜歡，有機會會在回購,['']
45,8149633152,198172756,櫛瓜1斤100元 安全無毒櫛瓜 未檢出 黃色綠色隨機出（櫛瓜如果沒有會換水果彩椒同等價格）,100,144714778,TRUE,2021/07/04,FALSE,7.85E+13,4,其實很新鮮好吃，但有2條切開是這樣，也沒辦法吧！,['']
46,8149633152,198172756,櫛瓜1斤100元 安全無毒櫛瓜 未檢出 黃色綠色隨機出（櫛瓜如果沒有會換水果彩椒同等價格）,100,310832333,TRUE,2021/06/19,FALSE,7.73E+13,5,賣家的東西品質很好，口感極佳，出貨速度快，即便少寄了東西，再告知賣家後，也是儘速處理事情，十分有誠意，推薦大家向賣家購買產品。,['']
47,8149633152,198172756,櫛瓜1斤100元 安全無毒櫛瓜 未檢出 黃色綠色隨機出（櫛瓜如果沒有會換水果彩椒同等價格）,100,8938599,TRUE,2021/07/14,FALSE,7.94E+13,5,漂亮又好吃的產品??,['']
48,8149633152,198172756,櫛瓜1斤100元 安全無毒櫛瓜 未檢出 黃色綠色隨機出（櫛瓜如果沒有會換水果彩椒同等價格）,100,142351690,TRUE,2021/07/02,FALSE,7.87E+13,5,送貨速度快，下訂到收到三天時間，商品品質好，會再回購~~！！！,['']
49,8149633152,198172756,櫛瓜1斤100元 安全無毒櫛瓜 未檢出 黃色綠色隨機出（櫛瓜如果沒有會換水果彩椒同等價格）,100,21410063,TRUE,2021/06/17,FALSE,7.73E+13,5,很棒的賣家，耐心的回答買家的問題！^n很棒的商品品質，出貨也很快，有需要會再回購的！,['']
50,8149633152,198172756,櫛瓜1斤100元 安全無毒櫛瓜 未檢出 黃色綠色隨機出（櫛瓜如果沒有會換水果彩椒同等價格）,100,1628257,TRUE,2021/07/08,FALSE,7.91E+13,5,收到商品覺得物美價廉，玉米也都好吃青椒也都好吃，其他的還沒有吃，不過彩椒收到的時候有一點烈烈乾乾的,['']
51,7332888202,198172756,彩虹甜糯玉米1斤35元（甜度16-17度）產銷履歷 慧軒農場還有白龍王北海道水果玉米/黑寶水果玉米/黑寶糯米,35,15426780,TRUE,2021/06/12,FALSE,7.63E+13,5,影片是到貨幾天後才拍攝，外殼有點乾了，到貨時都很新鮮，第一次在網路購買農產品，效果超乎想像的好，某品種玉米筍連葉子都有，感覺很新鮮，只是混買好幾項品種商品，不知道誰是誰，但都好吃,['']
52,7332888202,198172756,彩虹甜糯玉米1斤35元（甜度16-17度）產銷履歷 慧軒農場還有白龍王北海道水果玉米/黑寶水果玉米/黑寶糯米,35,31992979,TRUE,2022/09/30,FALSE,1.18E+14,5,數量正確，物美價廉，東西不錯，店家服務很好，cp質高，謝謝，謝謝！,['']
53,7332888202,198172756,彩虹甜糯玉米1斤35元（甜度16-17度）產銷履歷 慧軒農場還有白龍王北海道水果玉米/黑寶水果玉米/黑寶糯米,35,75074407,TRUE,2022/07/07,FALSE,1.09E+14,5,地瓜的品質都非常非常非常棒！ 不回購真的對不起自己！！ 而且都非常新鮮！！！,['']
