label,shopid,
233,198172756,
234,198172756,
235,198172756,
236,198172756,
237,198172756,
238,198172756,
239,198172756,
240,198172756,
241,198172756,
242,198172756,
243,198172756,
244,198172756,
245,198172756,
246,198172756,
247,198172756,
248,198172756,
249,198172756,
250,198172756,
251,198172756,
252,198172756,
253,198172756,
254,198172756,
255,198172756,
256,198172756,
257,198172756,
258,198172756,
259,198172756,
260,198172756,
261,198172756,
262,198172756,
263,198172756,
264,198172756,
265,198172756,
266,198172756,
267,198172756,
268,198172756,
269,198172756,
270,198172756,
271,198172756,
272,198172756,
273,198172756,
274,198172756,
275,198172756,
276,198172756,
277,198172756,
278,198172756,
279,198172756,
280,198172756,
281,198172756,
282,198172756,
283,198172756,
284,198172756,
285,198172756,
286,198172756,
287,198172756,
288,198172756,
289,198172756,
290,198172756,
291,198172756,
292,198172756,
293,198172756,
294,198172756,
295,198172756,
296,198172756,
297,198172756,
298,198172756,
299,198172756,
300,198172756,
301,198172756,
302,198172756,
303,198172756,
304,198172756,
305,198172756,
306,198172756,
307,198172756,
308,198172756,
309,198172756,
310,198172756,
311,198172756,
312,198172756,
313,198172756,
314,198172756,
315,198172756,
316,198172756,
317,198172756,
318,198172756,
319,198172756,
320,198172756,
321,198172756,
322,198172756,
323,198172756,
324,198172756,
325,198172756,
326,198172756,
327,198172756,
328,198172756,
329,198172756,
330,198172756,
331,198172756,
332,198172756,
333,198172756,
334,198172756,
335,198172756,
336,198172756,
337,198172756,
338,198172756,
339,198172756,
340,198172756,
341,198172756,
342,198172756,
343,198172756,
344,198172756,
345,198172756,
346,198172756,
347,198172756,
348,198172756,
349,198172756,
350,198172756,
351,198172756,
352,198172756,
353,198172756,
354,198172756,
355,198172756,
356,198172756,
357,198172756,
358,198172756,
359,198172756,
360,198172756,
361,198172756,
362,198172756,
363,198172756,
364,198172756,
365,198172756,
366,198172756,
367,198172756,
368,198172756,
369,198172756,
370,198172756,
371,198172756,
372,198172756,
373,198172756,
374,198172756,
375,198172756,
376,198172756,
377,198172756,
378,198172756,
379,198172756,
380,198172756,
381,198172756,
382,198172756,
383,198172756,
384,198172756,
385,198172756,
386,198172756,
387,198172756,
388,198172756,
389,198172756,
390,198172756,
391,198172756,
392,198172756,
393,198172756,
394,198172756,
395,198172756,
396,198172756,
397,198172756,
398,198172756,
399,198172756,
400,198172756,
401,198172756,
402,198172756,
403,198172756,
404,198172756,
405,198172756,
406,198172756,
407,198172756,
408,198172756,
409,198172756,
410,198172756,
411,198172756,
412,198172756,
413,198172756,
414,198172756,
415,198172756,
416,198172756,
417,198172756,
418,198172756,
419,198172756,
420,198172756,
421,198172756,
422,198172756,
423,198172756,
424,198172756,
425,198172756,
426,198172756,
427,198172756,
428,198172756,
429,198172756,
430,198172756,
431,198172756,
432,198172756,
433,198172756,
434,198172756,
435,198172756,
436,198172756,
437,198172756,
438,198172756,
439,198172756,
440,198172756,
441,198172756,
442,198172756,
443,198172756,
444,198172756,
445,198172756,
446,198172756,
447,198172756,
448,198172756,
449,198172756,
450,198172756,
451,198172756,
452,198172756,
453,198172756,
454,198172756,
455,198172756,
456,198172756,
457,198172756,
458,198172756,
459,198172756,
460,198172756,
461,198172756,
462,198172756,
463,198172756,
464,198172756,
465,198172756,
466,198172756,
467,198172756,
468,198172756,
469,198172756,
470,198172756,
471,198172756,
472,198172756,
473,198172756,
474,198172756,
475,198172756,
476,198172756,
477,198172756,
478,198172756,
479,198172756,
480,198172756,
481,198172756,
482,198172756,
483,198172756,
484,198172756,
485,198172756,
486,198172756,
487,198172756,
488,198172756,
489,198172756,
490,198172756,
491,198172756,
492,198172756,
493,198172756,
494,198172756,
495,198172756,
496,198172756,
497,198172756,
498,198172756,
499,198172756,
500,198172756,
501,198172756,
502,198172756,
503,198172756,
504,198172756,
505,198172756,
506,198172756,
507,198172756,
508,198172756,
509,198172756,
510,198172756,
511,198172756,
512,198172756,
513,198172756,
514,198172756,
515,198172756,
516,198172756,
517,198172756,
518,198172756,
519,198172756,
520,198172756,
521,198172756,
522,198172756,
523,198172756,
524,198172756,
525,198172756,
526,198172756,
527,198172756,
528,198172756,
529,198172756,
530,198172756,
531,198172756,
532,198172756,
533,198172756,
534,198172756,
535,198172756,
536,198172756,
537,198172756,
538,198172756,
539,198172756,
540,198172756,
541,198172756,
542,198172756,
543,198172756,
544,198172756,
545,198172756,
546,198172756,
547,198172756,
548,198172756,
549,198172756,
550,198172756,
551,198172756,
552,198172756,
553,198172756,
554,198172756,
555,198172756,
556,198172756,
557,198172756,
558,198172756,
559,198172756,
560,198172756,
561,198172756,
562,198172756,
563,198172756,
564,198172756,
565,198172756,
566,198172756,
567,198172756,
568,198172756,
569,198172756,
570,198172756,
571,198172756,
572,198172756,
573,198172756,
574,198172756,
575,198172756,
576,198172756,
577,198172756,
578,198172756,
579,198172756,
580,198172756,
581,198172756,
582,198172756,
583,198172756,
584,198172756,
585,198172756,
586,198172756,
587,198172756,
588,198172756,
589,198172756,
590,198172756,
591,198172756,
592,198172756,
593,198172756,
594,198172756,
595,198172756,
596,198172756,
597,198172756,
598,198172756,
599,198172756,
