label,userid
953,78020974
954,44923926
955,11472527
956,376528185
957,67587332
958,17269706
959,64251552
960,26273038
961,118348277
962,104031108
963,11526701
964,376528185
965,7217516
966,18301045
967,7354911
968,5349838
969,31363491
970,50632816
971,21346528
972,13399721
973,2508287
974,195649384
975,178353098
976,4423683
977,92090162
978,6885461
979,126850073
980,283901271
981,52521353
982,3398484
983,50938524
984,27540866
985,7861551
986,2630859
987,115345657
988,9223610
989,115275575
990,9276164
991,64251552
992,26588120
993,26588120
994,26588120
995,26588120
996,17269706
997,4083244
998,4083244
999,156721529
1000,9223610
1001,221881655
1002,10109356
1003,13365306
1004,160827
1005,13491349
1006,13852103
1007,13852103
1008,13068829
1009,8555208
1010,6711946
1011,797271778
1012,84416686
1013,14591762
1014,14591762
1015,11067754
1016,41431008
1017,10521013
1018,14509140
1019,120869674
1020,27537563
1021,39607256
1022,81574728
1023,21898190
1024,40184020
1025,19199721
1026,2766935
1027,14591762
1028,3490295
1029,123449820
1030,22764865
1031,311733185
1032,33174204
1033,27323290
1034,11846470
1035,121914204
1036,37427573
1037,28062836
1038,26268127
1039,26190591
1040,57775038
1041,3154209
1042,6867024
1043,445190
1044,69830183
1045,30501743
1046,12195627
1047,3858012
1048,28578127
1049,97764487
1050,85126315
1051,221881655
1052,22764865
1053,2882720
1054,13365306
1055,160827
1056,23902810
1057,46378519
1058,94956951
1059,3041157
1060,171404573
1061,152415503
1062,41355958
1063,6098210
1064,57803613
1065,12195627
1066,42762335
1067,7981994
1068,71313930
1069,82125290
1070,663971
1071,40898330
1072,3521067
1073,29597689
1074,10197478
1075,4066389
1076,21912315
1077,26545643
1078,50293772
1079,28450926
1080,12580236
1081,105525062
1082,34010224
1083,29792034
1084,707418917
1085,37525955
1086,234055937
1087,38836895
1088,52185322
1089,37427573
1090,37427573
1091,50632816
1092,50632816
1093,4083244
1094,4083244
1095,4083244
1096,20419694
1097,20419694
1098,29597689
1099,26359499
1100,114702297
1101,15426780
1102,22764865
1103,15426780
1104,144714778
1105,58983425
1106,7695103
1107,554753
1108,64251552
1109,12564526
1110,74920273
1111,2778051
1112,2766935
1113,4803866
1114,51907960
1115,134900596
1116,95701923
1117,95701923
1118,8555208
1119,10378052
1120,19152997
1121,55272654
1122,48940111
1123,27152713
1124,26113208
1125,382017610
1126,20938377
1127,12064265
1128,10943996
1129,10943996
1130,2425329
1131,58983425
1132,15958028
1133,44740866
1134,14111470
1135,51636716
1136,14976442
1137,69045943
1138,278494171
1139,7300943
1140,30942658
1141,125858949
1142,50632816
1143,1063646
1144,102610792
1145,310832333
1146,929148
1147,14242125
1148,192338866
1149,191164147
1150,139558723
1151,3583314
1152,184621060
1153,23902810
1154,85977166
1155,85977166
1156,3041157
1157,475770693
1158,3862612
1159,15840853
1160,31992979
1161,454230062
1162,3129309
1163,82125290
1164,24302403
1165,2384960
1166,3122296
1167,83115419
1168,123216857
1169,42901343
1170,5513256
1171,707418917
1172,94671
1173,42901343
1174,650999583
1175,35715326
1176,144714778
1177,2425329
1178,26359499
1179,10747815
1180,10747815
1181,3129309
1182,27323290
1183,66824738
1184,11285018
1185,13962548
1186,26190591
1187,45764128
1188,188018663
1189,217550405
1190,368911236
1191,4442939
1192,36211110
1193,4185800
1194,21912315
1195,14242125
1196,78501695
1197,136729687
1198,45539821
1199,208484455
1200,8175304
1201,53256218
1202,244180620
1203,3154567
1204,299798168
1205,6977379
1206,233359307
1207,265590
1208,1788445
1209,2221672
1210,7854933
1211,9083566
1212,31320114
1213,13182603
1214,1633169
1215,5798057
1216,30181800
1217,30181800
1218,517976
1219,51492778
1220,93817968
1221,38289368
1222,26342365
1223,115698413
1224,10622125
1225,4473171
1226,18490775
1227,11597479
1228,265590
1229,11150319
1230,16211632
1231,90653918
1232,68063716
1233,93720761
1234,261650338
1235,4940788
1236,274952404
1237,9453431
1238,201458928
1239,31904959
1240,4453620
1241,33154403
1242,33154403
1243,21366885
1244,9628861
1245,13894519
1246,11927476
1247,31397928
1248,74897096
1249,40184020
1250,3657292
1251,75074407
1252,184621060
1253,85977166
1254,13365306
1255,69369845
1256,23902810
1257,22764865
1258,1746349
1259,3041157
1260,15426780
1261,2470626
1262,58697747
1263,16117634
1264,167300326
1265,144714778
1266,126367213
1267,10557037
1268,139404385
1269,1628257
1270,13182603
1271,3952553
1272,11496069
1273,16889734
1274,60305951
1275,416004645
1276,5987785
1277,6435414
1278,9092778
1279,51907960
1280,68664072
1281,13594746
1282,120869674
1283,74229938
1284,20494828
1285,167199742
1286,30501743
1287,55636650
1288,9222735
1289,231760678
1290,40184020
1291,13422166
1292,90648768
1293,294888309
1294,520085206
1295,7704760
1296,126367213
1297,40898330
1298,9333876
1299,42901343
1300,63046948
1301,221881655
1302,75074407
1303,2718175
1304,3862612
1305,23902810
1306,42762335
1307,10521013
1308,554753
1309,3898106
1310,9820762
1311,14509140
1312,6737213
1313,15845354
1314,37427573
1315,37427573
1316,37427573
1317,37427573
1318,129248579
1319,81574728
1320,2367739
1321,320277648
1322,40450134
